time	V(n002)	V(n004)	V(n005)	V(n009)
0.000000000000000e+000	0.000000e+000	2.990937e+000	7.485674e-010	1.233349e-003
9.765624960978488e-015	9.731368e-011	2.990937e+000	4.763912e-005	1.243242e-003
1.953124992195698e-014	2.595031e-010	2.990937e+000	9.527749e-005	1.259592e-003
3.906249984391395e-014	8.563601e-010	2.990937e+000	1.905542e-004	1.318667e-003
7.812499968782791e-014	3.040380e-009	2.990937e+000	3.811077e-004	1.528115e-003
1.372450470800610e-013	9.192685e-009	2.990937e+000	6.695053e-004	2.082571e-003
2.554851418645273e-013	2.985783e-008	2.990937e+000	1.246301e-003	3.810019e-003
3.855341570026080e-013	6.582196e-008	2.990937e+000	1.880702e-003	6.512792e-003
5.768025652931472e-013	1.437920e-007	2.990937e+000	2.813741e-003	1.170301e-002
7.796638105800852e-013	2.567065e-007	2.990937e+000	3.803333e-003	1.829501e-002
9.854107359087741e-013	4.078024e-007	2.990937e+000	4.807001e-003	2.590778e-002
1.256614699036571e-012	6.673761e-007	2.990937e+000	6.129981e-003	3.689825e-002
1.668254364358587e-012	1.185761e-006	2.990937e+000	8.138029e-003	5.467776e-002
2.260501581582892e-012	2.194035e-006	2.990937e+000	1.102711e-002	8.134854e-002
3.156899926482272e-012	4.331074e-006	2.990937e+000	1.539990e-002	1.226154e-001
4.596553086730674e-012	9.456893e-006	2.990937e+000	2.242277e-002	1.893982e-001
1.043336903056016e-011	4.626298e-005	2.990937e+000	5.089577e-002	4.602540e-001
1.943336903056016e-011	1.559555e-004	2.990939e+000	9.479935e-002	8.761393e-001
2.843336903056015e-011	3.317377e-004	2.990941e+000	1.387030e-001	1.288977e+000
3.743336903056016e-011	5.735945e-004	2.990944e+000	1.826066e-001	1.698186e+000
4.643336903056017e-011	8.815107e-004	2.990947e+000	2.265103e-001	2.103441e+000
5.543336903056018e-011	1.255471e-003	2.990952e+000	2.704141e-001	2.504538e+000
6.443336903056018e-011	1.695461e-003	2.990957e+000	3.143178e-001	2.901320e+000
6.743336903056018e-011	1.856794e-003	2.990958e+000	3.289524e-001	3.032597e+000
7.343336903056019e-011	2.201464e-003	2.990962e+000	3.582216e-001	3.293635e+000
7.722860202619444e-011	2.434917e-003	2.990965e+000	3.767355e-001	3.457717e+000
8.102383502182871e-011	2.679919e-003	2.990968e+000	3.952494e-001	3.620925e+000
8.481906801746297e-011	2.936470e-003	2.990970e+000	4.137634e-001	3.783257e+000
8.861430101309723e-011	3.204570e-003	2.990973e+000	4.322773e-001	3.944714e+000
9.240953400873148e-011	3.484220e-003	2.990976e+000	4.507912e-001	4.105296e+000
9.620476700436575e-011	3.775419e-003	2.990980e+000	4.693052e-001	4.265003e+000
1.000000000000000e-010	4.078167e-003	2.990983e+000	4.878191e-001	4.423835e+000
1.003000000000000e-010	4.102625e-003	2.990983e+000	4.892826e-001	4.430380e+000
1.009000000000000e-010	4.151542e-003	2.990984e+000	4.922095e-001	4.437309e+000
1.021000000000000e-010	4.249372e-003	2.990985e+000	4.980634e-001	4.438363e+000
1.045000000000000e-010	4.445021e-003	2.990987e+000	5.097711e-001	4.429365e+000
1.081104190173354e-010	4.739318e-003	2.990990e+000	5.273835e-001	4.412883e+000
1.153312570520062e-010	5.327807e-003	2.990998e+000	5.626083e-001	4.378108e+000
1.297729331213478e-010	6.504380e-003	2.991014e+000	6.330580e-001	4.304480e+000
1.586562852600310e-010	8.856320e-003	2.991052e+000	7.739577e-001	4.151462e+000
1.886562852600310e-010	1.129758e-002	2.991098e+000	9.203051e-001	3.990210e+000
2.186562852600310e-010	1.373699e-002	2.991152e+000	1.066653e+000	3.829201e+000
2.786562852600310e-010	1.861023e-002	2.991282e+000	1.359349e+000	3.511177e+000
3.086562852600310e-010	2.104405e-002	2.991359e+000	1.505698e+000	3.354259e+000
3.386562852600310e-010	2.347602e-002	2.991443e+000	1.652048e+000	3.199815e+000
3.686562852600310e-010	2.590612e-002	2.991535e+000	1.798397e+000	3.050288e+000
3.986562852600310e-010	2.833437e-002	2.991635e+000	1.944747e+000	2.909102e+000
4.286562852600310e-010	3.076077e-002	2.991742e+000	2.091098e+000	2.779567e+000
4.586562852600310e-010	3.318531e-002	2.991858e+000	2.237449e+000	2.663917e+000
4.886562852600310e-010	3.560800e-002	2.991981e+000	2.383800e+000	2.563018e+000
5.186562852600310e-010	3.802884e-002	2.992111e+000	2.530152e+000	2.476591e+000
5.486562852600310e-010	4.044782e-002	2.992249e+000	2.676503e+000	2.403612e+000
5.786562852600310e-010	4.286496e-002	2.992395e+000	2.822856e+000	2.342666e+000
6.086562852600310e-010	4.528026e-002	2.992549e+000	2.969209e+000	2.292204e+000
6.386562852600310e-010	4.769371e-002	2.992710e+000	3.115562e+000	2.250700e+000
6.686562852600310e-010	5.010531e-002	2.992879e+000	3.261915e+000	2.216741e+000
6.986562852600310e-010	5.251507e-002	2.993056e+000	3.408269e+000	2.189070e+000
7.286562852600310e-010	5.492299e-002	2.993240e+000	3.554624e+000	2.166596e+000
7.586562852600310e-010	5.732907e-002	2.993432e+000	3.700978e+000	2.148391e+000
7.886562852600310e-010	5.973331e-002	2.993631e+000	3.847333e+000	2.133675e+000
8.186562852600310e-010	6.213572e-002	2.993838e+000	3.993689e+000	2.121799e+000
8.486562852600310e-010	6.453629e-002	2.994053e+000	4.140045e+000	2.112228e+000
8.786562852600310e-010	6.693502e-002	2.994275e+000	4.286401e+000	2.104525e+000
9.086562852600310e-010	6.933193e-002	2.994505e+000	4.432758e+000	2.098331e+000
9.386562852600309e-010	7.172699e-002	2.994743e+000	4.579115e+000	2.093356e+000
9.686562852600310e-010	7.412024e-002	2.994988e+000	4.725472e+000	2.089362e+000
9.986562852600311e-010	7.651208e-002	2.995239e+000	4.871830e+000	2.086008e+000
1.000000000000000e-009	7.661918e-002	2.995250e+000	4.878386e+000	2.085877e+000
1.002687429479938e-009	7.683329e-002	2.995273e+000	4.878386e+000	2.085633e+000
1.008062288439814e-009	7.726148e-002	2.995319e+000	4.878389e+000	2.085160e+000
1.018812006359566e-009	7.811764e-002	2.995410e+000	4.878394e+000	2.084278e+000
1.040311442199069e-009	7.982909e-002	2.995593e+000	4.878403e+000	2.082744e+000
1.083310313878076e-009	8.324847e-002	2.995959e+000	4.878421e+000	2.080385e+000
1.169308057236091e-009	9.007321e-002	2.996690e+000	4.878458e+000	2.077469e+000
1.341303543952119e-009	1.036668e-001	2.998146e+000	4.878532e+000	2.074983e+000
1.685294517384177e-009	1.306325e-001	3.001038e+000	4.878679e+000	2.073994e+000
2.373276464248292e-009	1.838239e-001	3.006753e+000	4.878972e+000	2.074533e+000
3.349838964248291e-009	2.579103e-001	3.014736e+000	4.879383e+000	2.075665e+000
4.326401464248291e-009	3.303120e-001	3.022562e+000	4.879790e+000	2.076778e+000
5.302963964248291e-009	4.009343e-001	3.030220e+000	4.880192e+000	2.077895e+000
