time	V(n002)	V(n004)	V(n005)	V(n009)
0.000000000000000e+000	3.204039e+000	1.210834e-002	4.894557e+000	2.990937e+000
9.765624960978488e-015	3.204039e+000	1.210834e-002	4.894509e+000	2.990927e+000
1.953124992195698e-014	3.204039e+000	1.210834e-002	4.894462e+000	2.990910e+000
3.906249984391395e-014	3.204039e+000	1.210834e-002	4.894366e+000	2.990851e+000
7.812499968782791e-014	3.204039e+000	1.210834e-002	4.894176e+000	2.990630e+000
1.562499993756558e-013	3.204039e+000	1.210834e-002	4.893795e+000	2.989817e+000
3.124999987513116e-013	3.204039e+000	1.210834e-002	4.893033e+000	2.987030e+000
6.249999975026233e-013	3.204039e+000	1.210833e-002	4.891508e+000	2.978467e+000
1.249999995005247e-012	3.204038e+000	1.210831e-002	4.888459e+000	2.955729e+000
2.373723603507940e-012	3.204036e+000	1.210825e-002	4.882977e+000	2.908727e+000
3.645845472214415e-012	3.204033e+000	1.210815e-002	4.876772e+000	2.853080e+000
5.643331609273347e-012	3.204025e+000	1.210796e-002	4.867028e+000	2.765218e+000
8.330139301919204e-012	3.204010e+000	1.210765e-002	4.853921e+000	2.647520e+000
1.070172870622655e-011	3.203991e+000	1.210732e-002	4.842352e+000	2.544188e+000
1.549644763553792e-011	3.203940e+000	1.210655e-002	4.818963e+000	2.337400e+000
2.149644763553792e-011	3.203849e+000	1.210537e-002	4.789694e+000	2.082916e+000
3.049644763553792e-011	3.203658e+000	1.210318e-002	4.745790e+000	1.710337e+000
3.606787620696650e-011	3.203506e+000	1.210156e-002	4.718612e+000	1.485936e+000
4.163930477839507e-011	3.203330e+000	1.209974e-002	4.691433e+000	1.264414e+000
4.721073334982365e-011	3.203128e+000	1.209773e-002	4.664255e+000	1.045772e+000
5.278216192125223e-011	3.202900e+000	1.209553e-002	4.637077e+000	8.300094e-001
5.835359049268081e-011	3.202648e+000	1.209313e-002	4.609898e+000	6.171260e-001
6.392501906410939e-011	3.202370e+000	1.209054e-002	4.582720e+000	4.071221e-001
6.949644763553795e-011	3.202067e+000	1.208776e-002	4.555541e+000	1.999976e-001
7.549644763553796e-011	3.201712e+000	1.208455e-002	4.526272e+000	-2.231372e-002
8.449644763553796e-011	3.201125e+000	1.207932e-002	4.482368e+000	-3.533765e-001
